GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0018158	protein oxidation	5	2	0	6.8e-06	1.430e-02	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0018171	peptidyl-cysteine oxidation	5	2	0	6.8e-06	1.430e-02	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0003032	detection of oxygen	6	2	0.01	1e-05	1.430e-02	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0070483	detection of hypoxia	6	2	0.01	1e-05	1.430e-02	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0018198	peptidyl-cysteine modification	8	2	0.01	1.9e-05	2.174e-02	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0009061	anaerobic respiration	13	2	0.01	5.3e-05	5.053e-02	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0015672	monovalent inorganic cation transport	301	4	0.25	0.00011	8.989e-02	P	AT2G38290, AT3G01390, AT4G23710, AT4G25950	AT2G38290, AT3G01390, AT4G23710, AT4G25950
GO:0009593	detection of chemical stimulus	26	2	0.02	0.00022	1.573e-01	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0006818	hydrogen transport	194	3	0.16	0.00057	3.260e-01	P	AT3G01390, AT4G23710, AT4G25950	AT3G01390, AT4G23710, AT4G25950
GO:0015992	proton transport	194	3	0.16	0.00057	3.260e-01	P	AT3G01390, AT4G23710, AT4G25950	AT3G01390, AT4G23710, AT4G25950
GO:0006812	cation transport	588	4	0.5	0.00137	7.124e-01	P	AT2G38290, AT3G01390, AT4G23710, AT4G25950	AT2G38290, AT3G01390, AT4G23710, AT4G25950
GO:0001666	response to hypoxia	71	2	0.06	0.00164	7.817e-01	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0006629	lipid metabolic process	1103	5	0.93	0.00195	8.084e-01	P	AT1G45201, AT1G56630, AT3G14360, AT5G42930, AT5G67050	AT1G45201, AT1G56630, AT3G14360, AT5G42930, AT5G67050
GO:0036293	response to decreased oxygen levels	80	2	0.07	0.00207	8.084e-01	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0070482	response to oxygen levels	81	2	0.07	0.00212	8.084e-01	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0051606	detection of stimulus	105	2	0.09	0.00353	1.000e+00	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0044699	single-organism process	11098	16	9.38	0.00421	1.000e+00	P	AT1G45201, AT1G56630, AT2G36270, AT2G38290, AT2G39730, AT2G42670, AT3G01390, AT3G14360, AT3G48560, AT3G58670, AT4G17300, AT4G23710, AT4G25950, AT5G20350, AT5G42930, AT5G67050	AT1G45201, AT1G56630, AT2G36270, AT2G38290, AT2G39730, AT2G42670, AT3G01390, AT3G14360, AT3G48560, AT3G58670, AT4G17300, AT4G23710, AT4G25950, AT5G20350, AT5G42930, AT5G67050
GO:0045333	cellular respiration	139	2	0.12	0.0061	1.000e+00	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0015980	energy derivation by oxidation of organic compounds	158	2	0.13	0.00782	1.000e+00	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0006811	ion transport	964	4	0.82	0.00804	1.000e+00	P	AT2G38290, AT3G01390, AT4G23710, AT4G25950	AT2G38290, AT3G01390, AT4G23710, AT4G25950
