GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0006542	glutamine biosynthetic process	7	6	0.03	9.7e-14	5.548e-10	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600
GO:0009399	nitrogen fixation	5	4	0.02	3e-09	8.580e-06	P	AT1G48470, AT1G66200, AT5G16570, AT5G37600	AT1G48470, AT1G66200, AT5G16570, AT5G37600
GO:0009395	phospholipid catabolic process	14	5	0.07	5.6e-09	1.068e-05	P	AT1G07230, AT2G26870, AT3G03530, AT3G03540, AT3G48610	AT1G07230, AT2G26870, AT3G03530, AT3G03540, AT3G48610
GO:0006644	phospholipid metabolic process	218	11	1.09	1.3e-08	1.621e-05	P	AT1G07230, AT1G62430, AT2G26870, AT3G03530, AT3G03540, AT3G48610, AT4G22340, AT5G09290, AT5G63980, AT5G63990, AT5G64000	AT1G07230, AT1G62430, AT2G26870, AT3G03530, AT3G03540, AT3G48610, AT4G22340, AT5G09290, AT5G63980, AT5G63990, AT5G64000
GO:0009084	glutamine family amino acid biosynthetic process	34	6	0.17	1.7e-08	1.621e-05	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600
GO:0044763	single-organism cellular process	8410	73	42.02	1.7e-08	1.621e-05	P	AT1G05100, AT1G05300, AT1G07230, AT1G07920, AT1G07930, AT1G07940, AT1G16380, AT1G20080, AT1G48050, AT1G48470, AT1G62430, AT1G63640, AT1G66200, AT1G68610, AT1G71990, AT1G74380, AT1G76680, AT1G76690, AT1G79400, AT2G01140, AT2G13620, AT2G16970, AT2G16980, AT2G16990, AT2G20990, AT2G26870, AT2G28190, AT2G30490, AT2G32270, AT2G32510, AT2G34690, AT2G37040, AT2G40360, AT3G03200, AT3G03530, AT3G03540, AT3G10340, AT3G17820, AT3G21250, AT3G21820, AT3G48560, AT3G48610, AT3G53260, AT3G56800, AT3G60160, AT3G62880, AT4G14640, AT4G19600, AT4G22340, AT4G26890, AT4G30950, AT4G33520, AT4G38970, AT5G08300, AT5G09290, AT5G09740, AT5G13930, AT5G16570, AT5G17260, AT5G21274, AT5G23250, AT5G35630, AT5G37600, AT5G41310, AT5G42210, AT5G45190, AT5G55090, AT5G60390, AT5G62440, AT5G63980, AT5G63990, AT5G64000, AT5G64610	AT1G05100, AT1G05300, AT1G07230, AT1G07920, AT1G07930, AT1G07940, AT1G16380, AT1G20080, AT1G48050, AT1G48470, AT1G62430, AT1G63640, AT1G66200, AT1G68610, AT1G71990, AT1G74380, AT1G76680, AT1G76690, AT1G79400, AT2G01140, AT2G13620, AT2G16970, AT2G16980, AT2G16990, AT2G20990, AT2G26870, AT2G28190, AT2G30490, AT2G32270, AT2G32510, AT2G34690, AT2G37040, AT2G40360, AT3G03200, AT3G03530, AT3G03540, AT3G10340, AT3G17820, AT3G21250, AT3G21820, AT3G48560, AT3G48610, AT3G53260, AT3G56800, AT3G60160, AT3G62880, AT4G14640, AT4G19600, AT4G22340, AT4G26890, AT4G30950, AT4G33520, AT4G38970, AT5G08300, AT5G09290, AT5G09740, AT5G13930, AT5G16570, AT5G17260, AT5G21274, AT5G23250, AT5G35630, AT5G37600, AT5G41310, AT5G42210, AT5G45190, AT5G55090, AT5G60390, AT5G62440, AT5G63980, AT5G63990, AT5G64000, AT5G64610
GO:0009768	photosynthesis, light harvesting in photosystem I	23	5	0.11	9e-08	7.354e-05	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430
GO:0090377	seed trichome initiation	10	4	0.05	1.2e-07	8.262e-05	P	AT1G07920, AT1G07930, AT1G07940, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G60390
GO:0006541	glutamine metabolic process	47	6	0.23	1.3e-07	8.262e-05	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600
GO:0090378	seed trichome elongation	26	5	0.13	1.7e-07	9.724e-05	P	AT1G07920, AT1G07930, AT1G07940, AT5G37600, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G37600, AT5G60390
