GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0042743	hydrogen peroxide metabolic process	108	8	0.23	7e-11	4.004e-07	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180
GO:0006357	regulation of transcription from RNA polymerase II promoter	390	11	0.82	4.9e-10	1.144e-06	P	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660
GO:0042744	hydrogen peroxide catabolic process	86	7	0.18	6e-10	1.144e-06	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180
GO:0006366	transcription from RNA polymerase II promoter	443	11	0.94	1.9e-09	2.717e-06	P	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660
GO:0072593	reactive oxygen species metabolic process	169	8	0.36	2.5e-09	2.860e-06	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180
GO:0009664	plant-type cell wall organization	154	6	0.33	8.9e-07	8.485e-04	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180
GO:0071669	plant-type cell wall organization or biogenesis	279	6	0.59	2.7e-05	2.206e-02	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180
GO:0071577	zinc II ion transmembrane transport	32	3	0.07	4.2e-05	3.003e-02	P	AT1G10970, AT1G60960, AT4G33020	AT1G10970, AT1G60960, AT4G33020
GO:0006979	response to oxidative stress	475	7	1	6.2e-05	3.432e-02	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180
GO:0050794	regulation of cellular process	5237	24	11.07	6.5e-05	3.432e-02	P	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT4G09590, AT4G09660, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G22200, AT5G45190, AT5G53730	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT4G09590, AT4G09660, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G22200, AT5G45190, AT5G53730
