GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0010315	auxin efflux	31	7	0.1	7e-12	4.004e-08	P	AT1G02520, AT1G02530, AT1G75500, AT2G47000, AT3G62150, AT4G01820, AT4G01830	AT1G02520, AT1G02530, AT1G75500, AT2G47000, AT3G62150, AT4G01820, AT4G01830
GO:0010928	regulation of auxin mediated signaling pathway	49	7	0.16	2.2e-10	6.292e-07	P	AT1G02520, AT1G02530, AT1G75500, AT2G47000, AT3G62150, AT4G01820, AT4G01830	AT1G02520, AT1G02530, AT1G75500, AT2G47000, AT3G62150, AT4G01820, AT4G01830
GO:0010540	basipetal auxin transport	32	6	0.1	8e-10	1.525e-06	P	AT1G02520, AT1G02530, AT2G47000, AT3G62150, AT4G01820, AT4G01830	AT1G02520, AT1G02530, AT2G47000, AT3G62150, AT4G01820, AT4G01830
GO:0009245	lipid A biosynthetic process	12	4	0.04	4.9e-08	4.004e-05	P	AT1G24793, AT1G25054, AT1G25145, AT1G25210	AT1G24793, AT1G25054, AT1G25145, AT1G25210
GO:0046493	lipid A metabolic process	12	4	0.04	4.9e-08	4.004e-05	P	AT1G24793, AT1G25054, AT1G25145, AT1G25210	AT1G24793, AT1G25054, AT1G25145, AT1G25210
GO:1901269	lipooligosaccharide metabolic process	12	4	0.04	4.9e-08	4.004e-05	P	AT1G24793, AT1G25054, AT1G25145, AT1G25210	AT1G24793, AT1G25054, AT1G25145, AT1G25210
GO:1901271	lipooligosaccharide biosynthetic process	12	4	0.04	4.9e-08	4.004e-05	P	AT1G24793, AT1G25054, AT1G25145, AT1G25210	AT1G24793, AT1G25054, AT1G25145, AT1G25210
GO:0006796	phosphate-containing compound metabolic process	2216	24	7.15	7.8e-08	5.548e-05	P	AT1G04280, AT1G06750, AT1G07110, AT1G11880, AT1G12350, AT1G12460, AT1G24793, AT1G25054, AT1G25145, AT1G25210, AT1G49170, AT1G62950, AT1G75820, AT2G30630, AT3G48190, AT3G49670, AT4G08470, AT4G08480, AT4G08500, AT4G20270, AT4G37870, AT5G02080, AT5G65690, AT5G65700	AT1G04280, AT1G06750, AT1G07110, AT1G11880, AT1G12350, AT1G12460, AT1G24793, AT1G25054, AT1G25145, AT1G25210, AT1G49170, AT1G62950, AT1G75820, AT2G30630, AT3G48190, AT3G49670, AT4G08470, AT4G08480, AT4G08500, AT4G20270, AT4G37870, AT5G02080, AT5G65690, AT5G65700
GO:0060918	auxin transport	115	7	0.37	9.4e-08	5.548e-05	P	AT1G02520, AT1G02530, AT1G75500, AT2G47000, AT3G62150, AT4G01820, AT4G01830	AT1G02520, AT1G02530, AT1G75500, AT2G47000, AT3G62150, AT4G01820, AT4G01830
GO:0006793	phosphorus metabolic process	2241	24	7.23	9.7e-08	5.548e-05	P	AT1G04280, AT1G06750, AT1G07110, AT1G11880, AT1G12350, AT1G12460, AT1G24793, AT1G25054, AT1G25145, AT1G25210, AT1G49170, AT1G62950, AT1G75820, AT2G30630, AT3G48190, AT3G49670, AT4G08470, AT4G08480, AT4G08500, AT4G20270, AT4G37870, AT5G02080, AT5G65690, AT5G65700	AT1G04280, AT1G06750, AT1G07110, AT1G11880, AT1G12350, AT1G12460, AT1G24793, AT1G25054, AT1G25145, AT1G25210, AT1G49170, AT1G62950, AT1G75820, AT2G30630, AT3G48190, AT3G49670, AT4G08470, AT4G08480, AT4G08500, AT4G20270, AT4G37870, AT5G02080, AT5G65690, AT5G65700
