GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0030163	protein catabolic process	864	6	0.76	8.2e-05	4.69e-01	P	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340
GO:0009057	macromolecule catabolic process	1164	6	1.03	0.00041	1.00e+00	P	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340
GO:0006508	proteolysis	1307	6	1.16	0.00077	1.00e+00	P	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340
GO:1901575	organic substance catabolic process	1749	6	1.55	0.00342	1.00e+00	P	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340
GO:0010150	leaf senescence	106	2	0.09	0.00393	1.00e+00	P	AT2G39730, AT3G52860	AT2G39730, AT3G52860
GO:0010260	organ senescence	106	2	0.09	0.00393	1.00e+00	P	AT2G39730, AT3G52860	AT2G39730, AT3G52860
GO:0008152	metabolic process	14067	19	12.43	0.00423	1.00e+00	P	AT1G26740, AT1G27480, AT1G31450, AT1G64830, AT1G69485, AT2G16940, AT2G28010, AT2G28040, AT2G35615, AT2G39730, AT3G16730, AT3G18520, AT3G23640, AT3G52860, AT4G11570, AT4G33520, AT5G09880, AT5G33340, AT5G47120	AT1G26740, AT1G27480, AT1G31450, AT1G64830, AT1G69485, AT2G16940, AT2G28010, AT2G28040, AT2G35615, AT2G39730, AT3G16730, AT3G18520, AT3G23640, AT3G52860, AT4G11570, AT4G33520, AT5G09880, AT5G33340, AT5G47120
GO:0009056	catabolic process	1985	6	1.75	0.00637	1.00e+00	P	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340	AT1G31450, AT1G64830, AT2G28010, AT2G28040, AT2G35615, AT5G33340
GO:0009932	cell tip growth	155	2	0.14	0.00822	1.00e+00	P	AT1G73430, AT5G20350	AT1G73430, AT5G20350
GO:0007568	aging	162	2	0.14	0.00895	1.00e+00	P	AT2G39730, AT3G52860	AT2G39730, AT3G52860
