GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0006557	S-adenosylmethioninamine biosynthetic process	4	3	0.01	9.6e-08	2.746e-04	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
GO:0046499	S-adenosylmethioninamine metabolic process	4	3	0.01	9.6e-08	2.746e-04	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
GO:0006597	spermine biosynthetic process	5	3	0.01	2.4e-07	4.576e-04	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
GO:0008215	spermine metabolic process	7	3	0.02	8.3e-07	1.187e-03	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
GO:0008295	spermidine biosynthetic process	8	3	0.02	1.3e-06	1.487e-03	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
GO:0008216	spermidine metabolic process	13	3	0.04	6.7e-06	6.077e-03	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
GO:0010480	microsporocyte differentiation	2	2	0.01	8.4e-06	6.077e-03	P	AT3G49670, AT5G65700	AT3G49670, AT5G65700
GO:0006596	polyamine biosynthetic process	14	3	0.04	8.5e-06	6.077e-03	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
GO:0010075	regulation of meristem growth	47	4	0.14	1.1e-05	6.991e-03	P	AT1G75820, AT3G49670, AT4G20270, AT5G65700	AT1G75820, AT3G49670, AT4G20270, AT5G65700
GO:0048533	sporocyte differentiation	3	2	0.01	2.5e-05	1.352e-02	P	AT3G49670, AT5G65700	AT3G49670, AT5G65700
GO:0009934	regulation of meristem structural organization	20	3	0.06	2.6e-05	1.352e-02	P	AT1G75820, AT3G49670, AT5G65700	AT1G75820, AT3G49670, AT5G65700
GO:0048653	anther development	61	4	0.18	3.1e-05	1.478e-02	P	AT1G17420, AT1G72520, AT3G49670, AT5G65700	AT1G17420, AT1G72520, AT3G49670, AT5G65700
GO:0035266	meristem growth	63	4	0.18	3.5e-05	1.540e-02	P	AT1G75820, AT3G49670, AT4G20270, AT5G65700	AT1G75820, AT3G49670, AT4G20270, AT5G65700
GO:0006595	polyamine metabolic process	23	3	0.07	4.1e-05	1.675e-02	P	AT3G02470, AT3G25570, AT5G15950	AT3G02470, AT3G25570, AT5G15950
