GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0006869	lipid transport	171	33	1.06	1e-30	2.860e-27	P	AT1G12090, AT1G12100, AT1G17840, AT1G62500, AT1G62510, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT5G09370, AT5G46890, AT5G46900, AT5G64080	AT1G12090, AT1G12100, AT1G17840, AT1G62500, AT1G62510, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT5G09370, AT5G46890, AT5G46900, AT5G64080
GO:0010876	lipid localization	198	33	1.23	1e-30	2.860e-27	P	AT1G12090, AT1G12100, AT1G17840, AT1G62500, AT1G62510, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT5G09370, AT5G46890, AT5G46900, AT5G64080	AT1G12090, AT1G12100, AT1G17840, AT1G62500, AT1G62510, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT5G09370, AT5G46890, AT5G46900, AT5G64080
GO:0033036	macromolecule localization	1054	40	6.52	1e-20	1.907e-17	P	AT1G12090, AT1G12100, AT1G17840, AT1G62500, AT1G62510, AT2G02040, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT5G01180, AT5G09370, AT5G46860, AT5G46890, AT5G46900, AT5G55930, AT5G64080	AT1G12090, AT1G12100, AT1G17840, AT1G62500, AT1G62510, AT2G02040, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT5G01180, AT5G09370, AT5G46860, AT5G46890, AT5G46900, AT5G55930, AT5G64080
GO:0071702	organic substance transport	1368	42	8.46	2.3e-18	3.289e-15	P	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G62500, AT1G62510, AT1G75220, AT2G02040, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT5G01180, AT5G09370, AT5G46860, AT5G46890, AT5G46900, AT5G55930, AT5G64080	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G62500, AT1G62510, AT1G75220, AT2G02040, AT2G10940, AT2G13820, AT2G27130, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G43720, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT5G01180, AT5G09370, AT5G46860, AT5G46890, AT5G46900, AT5G55930, AT5G64080
GO:0044765	single-organism transport	2119	51	13.11	6.5e-18	7.436e-15	P	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G62500, AT1G62510, AT1G75220, AT1G80660, AT2G02040, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G24520, AT2G27130, AT2G34190, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G42640, AT3G43720, AT3G46980, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT4G30190, AT5G01180, AT5G09370, AT5G46890, AT5G46900, AT5G55930, AT5G57350, AT5G64080	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G62500, AT1G62510, AT1G75220, AT1G80660, AT2G02040, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G24520, AT2G27130, AT2G34190, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G42640, AT3G43720, AT3G46980, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT4G30190, AT5G01180, AT5G09370, AT5G46890, AT5G46900, AT5G55930, AT5G57350, AT5G64080
GO:1902578	single-organism localization	2160	51	13.37	1.5e-17	1.430e-14	P	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G62500, AT1G62510, AT1G75220, AT1G80660, AT2G02040, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G24520, AT2G27130, AT2G34190, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G42640, AT3G43720, AT3G46980, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT4G30190, AT5G01180, AT5G09370, AT5G46890, AT5G46900, AT5G55930, AT5G57350, AT5G64080	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G62500, AT1G62510, AT1G75220, AT1G80660, AT2G02040, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G24520, AT2G27130, AT2G34190, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G42640, AT3G43720, AT3G46980, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT4G30190, AT5G01180, AT5G09370, AT5G46890, AT5G46900, AT5G55930, AT5G57350, AT5G64080
GO:0044699	single-organism process	11098	121	68.67	4.5e-17	3.677e-14	P	AT1G02640, AT1G05240, AT1G05250, AT1G05260, AT1G09450, AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G48470, AT1G52760, AT1G53280, AT1G56200, AT1G62500, AT1G62510, AT1G66200, AT1G71696, AT1G75220, AT1G78060, AT1G79750, AT1G80580, AT1G80660, AT1G80950, AT2G02040, AT2G04660, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G19900, AT2G24520, AT2G27130, AT2G30490, AT2G32640, AT2G33840, AT2G34190, AT2G34830, AT2G41480, AT2G44110, AT2G45180, AT2G48130, AT3G01190, AT3G04020, AT3G04280, AT3G14990, AT3G15410, AT3G17590, AT3G17820, AT3G19820, AT3G21770, AT3G22120, AT3G22580, AT3G22600, AT3G23890, AT3G42640, AT3G43720, AT3G46980, AT3G52200, AT3G54140, AT4G00165, AT4G00450, AT4G02600, AT4G04220, AT4G08670, AT4G11290, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G20070, AT4G22460, AT4G22490, AT4G22520, AT4G24250, AT4G26590, AT4G27040, AT4G30190, AT4G34890, AT4G34900, AT4G37870, AT4G39120, AT5G01180, AT5G04490, AT5G09370, AT5G09700, AT5G09730, AT5G10560, AT5G11670, AT5G13420, AT5G13700, AT5G15180, AT5G16570, AT5G24090, AT5G25880, AT5G26594, AT5G35630, AT5G37600, AT5G39580, AT5G46860, AT5G46890, AT5G46900, AT5G49360, AT5G49650, AT5G53460, AT5G55810, AT5G55930, AT5G57350, AT5G57930, AT5G62030, AT5G64080, AT5G64110, AT5G64120, AT5G64570, AT5G65690	AT1G02640, AT1G05240, AT1G05250, AT1G05260, AT1G09450, AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G48470, AT1G52760, AT1G53280, AT1G56200, AT1G62500, AT1G62510, AT1G66200, AT1G71696, AT1G75220, AT1G78060, AT1G79750, AT1G80580, AT1G80660, AT1G80950, AT2G02040, AT2G04660, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G19900, AT2G24520, AT2G27130, AT2G30490, AT2G32640, AT2G33840, AT2G34190, AT2G34830, AT2G41480, AT2G44110, AT2G45180, AT2G48130, AT3G01190, AT3G04020, AT3G04280, AT3G14990, AT3G15410, AT3G17590, AT3G17820, AT3G19820, AT3G21770, AT3G22120, AT3G22580, AT3G22600, AT3G23890, AT3G42640, AT3G43720, AT3G46980, AT3G52200, AT3G54140, AT4G00165, AT4G00450, AT4G02600, AT4G04220, AT4G08670, AT4G11290, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G20070, AT4G22460, AT4G22490, AT4G22520, AT4G24250, AT4G26590, AT4G27040, AT4G30190, AT4G34890, AT4G34900, AT4G37870, AT4G39120, AT5G01180, AT5G04490, AT5G09370, AT5G09700, AT5G09730, AT5G10560, AT5G11670, AT5G13420, AT5G13700, AT5G15180, AT5G16570, AT5G24090, AT5G25880, AT5G26594, AT5G35630, AT5G37600, AT5G39580, AT5G46860, AT5G46890, AT5G46900, AT5G49360, AT5G49650, AT5G53460, AT5G55810, AT5G55930, AT5G57350, AT5G57930, AT5G62030, AT5G64080, AT5G64110, AT5G64120, AT5G64570, AT5G65690
GO:0031222	arabinan catabolic process	7	7	0.04	3e-16	2.145e-13	P	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570
GO:0006810	transport	2699	54	16.7	1.5e-15	9.533e-13	P	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G55840, AT1G62500, AT1G62510, AT1G75220, AT1G80660, AT2G02040, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G24520, AT2G27130, AT2G34190, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G42640, AT3G43720, AT3G46980, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT4G30190, AT5G01180, AT5G09370, AT5G46860, AT5G46890, AT5G46900, AT5G47730, AT5G55930, AT5G57350, AT5G64080	AT1G12090, AT1G12100, AT1G17840, AT1G19450, AT1G55840, AT1G62500, AT1G62510, AT1G75220, AT1G80660, AT2G02040, AT2G05760, AT2G07560, AT2G10940, AT2G13820, AT2G18960, AT2G24520, AT2G27130, AT2G34190, AT2G45180, AT2G48130, AT3G22120, AT3G22580, AT3G22600, AT3G42640, AT3G43720, AT3G46980, AT3G54140, AT4G00165, AT4G08670, AT4G12470, AT4G12480, AT4G12490, AT4G12500, AT4G12510, AT4G12520, AT4G12530, AT4G12550, AT4G14815, AT4G15160, AT4G22460, AT4G22490, AT4G22520, AT4G26590, AT4G27040, AT4G30190, AT5G01180, AT5G09370, AT5G46860, AT5G46890, AT5G46900, AT5G47730, AT5G55930, AT5G57350, AT5G64080
GO:0031221	arabinan metabolic process	8	7	0.05	2.4e-15	1.300e-12	P	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570
