GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0042743	hydrogen peroxide metabolic process	108	8	0.22	5.1e-11	2.917e-07	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180
GO:0006357	regulation of transcription from RNA polymerase II promoter	390	11	0.79	3.2e-10	8.771e-07	P	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660
GO:0042744	hydrogen peroxide catabolic process	86	7	0.18	4.6e-10	8.771e-07	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180
GO:0006366	transcription from RNA polymerase II promoter	443	11	0.9	1.2e-09	1.716e-06	P	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT4G09660, AT4G19600, AT5G05660
GO:0072593	reactive oxygen species metabolic process	169	8	0.34	1.9e-09	2.174e-06	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G05660, AT5G15180
GO:0050789	regulation of biological process	5923	30	12.06	1.1e-07	1.049e-04	P	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G18524, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G09660, AT4G14640, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G09760, AT5G21274, AT5G22200, AT5G45190, AT5G53730, AT5G64640	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G18524, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G09660, AT4G14640, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G09760, AT5G21274, AT5G22200, AT5G45190, AT5G53730, AT5G64640
GO:0050794	regulation of cellular process	5237	28	10.67	1.3e-07	1.062e-04	P	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G18524, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G09660, AT4G14640, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G21274, AT5G22200, AT5G45190, AT5G53730	AT1G19260, AT1G41920, AT1G42710, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G18524, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G09660, AT4G14640, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G21274, AT5G22200, AT5G45190, AT5G53730
GO:0065007	biological regulation	6714	31	13.68	4.8e-07	3.432e-04	P	AT1G19260, AT1G41920, AT1G42710, AT1G60960, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G18524, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G09660, AT4G14640, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G09760, AT5G21274, AT5G22200, AT5G45190, AT5G53730, AT5G64640	AT1G19260, AT1G41920, AT1G42710, AT1G60960, AT2G06541, AT2G35960, AT2G35970, AT3G11660, AT3G18524, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G09660, AT4G14640, AT4G19600, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G09760, AT5G21274, AT5G22200, AT5G45190, AT5G53730, AT5G64640
GO:0009664	plant-type cell wall organization	154	6	0.31	7.1e-07	4.512e-04	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180
GO:0009987	cellular process	15094	46	30.75	5.7e-06	3.260e-03	P	AT1G05240, AT1G05250, AT1G05260, AT1G10970, AT1G19260, AT1G41920, AT1G42710, AT1G60960, AT1G73020, AT2G06541, AT2G35960, AT2G35970, AT2G36370, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G28880, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G00290, AT4G09590, AT4G09660, AT4G11290, AT4G14640, AT4G17300, AT4G19600, AT4G33020, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G09760, AT5G09820, AT5G15180, AT5G21274, AT5G22200, AT5G45190, AT5G53730, AT5G64640	AT1G05240, AT1G05250, AT1G05260, AT1G10970, AT1G19260, AT1G41920, AT1G42710, AT1G60960, AT1G73020, AT2G06541, AT2G35960, AT2G35970, AT2G36370, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G28880, AT3G29450, AT3G29763, AT3G29765, AT3G31402, AT3G44220, AT3G52470, AT3G56800, AT4G00290, AT4G09590, AT4G09660, AT4G11290, AT4G14640, AT4G17300, AT4G19600, AT4G33020, AT4G34120, AT4G36910, AT5G05657, AT5G05660, AT5G06330, AT5G09760, AT5G09820, AT5G15180, AT5G21274, AT5G22200, AT5G45190, AT5G53730, AT5G64640
GO:0006950	response to stress	3567	20	7.27	1.1e-05	5.720e-03	P	AT1G05240, AT1G05250, AT1G05260, AT2G35960, AT2G35970, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G23600, AT3G44220, AT3G52470, AT4G09590, AT4G11290, AT5G05657, AT5G05660, AT5G06330, AT5G15180, AT5G22200, AT5G53730	AT1G05240, AT1G05250, AT1G05260, AT2G35960, AT2G35970, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G23600, AT3G44220, AT3G52470, AT4G09590, AT4G11290, AT5G05657, AT5G05660, AT5G06330, AT5G15180, AT5G22200, AT5G53730
GO:0071555	cell wall organization	554	8	1.13	1.5e-05	7.150e-03	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G09760, AT5G15180, AT5G64640	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G09760, AT5G15180, AT5G64640
GO:0071669	plant-type cell wall organization or biogenesis	279	6	0.57	2.2e-05	9.533e-03	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G15180
GO:0045229	external encapsulating structure organization	590	8	1.2	2.4e-05	9.533e-03	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G09760, AT5G15180, AT5G64640	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G09760, AT5G15180, AT5G64640
GO:0044763	single-organism cellular process	8410	32	17.13	2.5e-05	9.533e-03	P	AT1G05240, AT1G05250, AT1G05260, AT1G10970, AT1G60960, AT1G73020, AT2G35960, AT2G35970, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G44220, AT3G52470, AT3G56800, AT4G00290, AT4G09590, AT4G11290, AT4G14640, AT4G17300, AT4G19600, AT4G33020, AT4G34120, AT4G36910, AT5G05657, AT5G06330, AT5G09820, AT5G15180, AT5G21274, AT5G22200, AT5G45190, AT5G53730	AT1G05240, AT1G05250, AT1G05260, AT1G10970, AT1G60960, AT1G73020, AT2G35960, AT2G35970, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G44220, AT3G52470, AT3G56800, AT4G00290, AT4G09590, AT4G11290, AT4G14640, AT4G17300, AT4G19600, AT4G33020, AT4G34120, AT4G36910, AT5G05657, AT5G06330, AT5G09820, AT5G15180, AT5G21274, AT5G22200, AT5G45190, AT5G53730
GO:0050896	response to stimulus	6373	27	12.98	2.9e-05	1.037e-02	P	AT1G05240, AT1G05250, AT1G05260, AT1G60960, AT2G35960, AT2G35970, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G23600, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G11290, AT4G14640, AT4G19600, AT4G33020, AT5G05657, AT5G05660, AT5G06330, AT5G15180, AT5G21274, AT5G22200, AT5G45190, AT5G53730	AT1G05240, AT1G05250, AT1G05260, AT1G60960, AT2G35960, AT2G35970, AT3G01190, AT3G11660, AT3G18524, AT3G21770, AT3G23600, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G11290, AT4G14640, AT4G19600, AT4G33020, AT5G05657, AT5G05660, AT5G06330, AT5G15180, AT5G21274, AT5G22200, AT5G45190, AT5G53730
GO:0071577	zinc II ion transmembrane transport	32	3	0.07	3.8e-05	1.279e-02	P	AT1G10970, AT1G60960, AT4G33020	AT1G10970, AT1G60960, AT4G33020
GO:0006979	response to oxidative stress	475	7	0.97	4.8e-05	1.525e-02	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180
GO:0006829	zinc II ion transport	37	3	0.08	5.9e-05	1.776e-02	P	AT1G10970, AT1G60960, AT4G33020	AT1G10970, AT1G60960, AT4G33020
GO:0071554	cell wall organization or biogenesis	732	8	1.49	0.00011	3.146e-02	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G09760, AT5G15180, AT5G64640	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT4G11290, AT5G09760, AT5G15180, AT5G64640
GO:0007165	signal transduction	2026	13	4.13	0.00016	4.358e-02	P	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730
GO:0044700	single organism signaling	2066	13	4.21	2e-04	4.974e-02	P	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730
GO:0023052	signaling	2068	13	4.21	2e-04	4.974e-02	P	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730
GO:0019722	calcium-mediated signaling	69	3	0.14	0.00038	9.057e-02	P	AT3G56800, AT4G14640, AT5G21274	AT3G56800, AT4G14640, AT5G21274
GO:0019932	second-messenger-mediated signaling	73	3	0.15	0.00045	1.030e-01	P	AT3G56800, AT4G14640, AT5G21274	AT3G56800, AT4G14640, AT5G21274
GO:0007154	cell communication	2317	13	4.72	6e-04	1.320e-01	P	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730	AT2G35960, AT2G35970, AT3G11660, AT3G44220, AT3G52470, AT3G56800, AT4G09590, AT4G14640, AT5G05657, AT5G06330, AT5G21274, AT5G22200, AT5G53730
GO:0009615	response to virus	82	3	0.17	0.00063	1.335e-01	P	AT3G11660, AT4G19600, AT5G45190	AT3G11660, AT4G19600, AT5G45190
GO:0044712	single-organism catabolic process	777	7	1.58	0.00096	1.961e-01	P	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180	AT1G05240, AT1G05250, AT1G05260, AT3G01190, AT3G21770, AT4G11290, AT5G15180
GO:0000041	transition metal ion transport	100	3	0.2	0.00112	2.209e-01	P	AT1G10970, AT1G60960, AT4G33020	AT1G10970, AT1G60960, AT4G33020
