output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C5_WRKY_1	NA	C5_WRKY_1	C_	289	7.8421	30	10.41304	52	-0.30823	4.82743e-76	True
_C2_MYBrelated_9-C5_MYBrelated_3	NA	C2_MYBrelated_9-C5_MYBrelated_3	C_	4650	7.01527	295	8.80885	589	-0.27035	1.57605e-130	True
_C5_MYBrelated_2	NA	C5_MYBrelated_2	C_	296	7.18758	20	11.08998	56	-0.50964	3.14156e-98	True
_C2_MYBrelated_23	NA	C2_MYBrelated_23	C_	107	7.36522	7	9.72535	16	-0.3588	1.79893e-61	True
_C5_G2like_1	NA	C5_G2like_1	C_	1275	7.46785	101	9.11489	175	-0.26826	1.72302e-100	True
_C3_C2H2_81	NA	C3_C2H2_81	C_	97	16.87565	42	8.66463	8	0.99042	4.0805e-100	True
_C3_Trihelix_48	NA	C3_Trihelix_48	C_	302	10.86582	47	6.17829	10	0.80977	9.4754e-116	True
_C2_HMG_1	NA	C2_HMG_1	C_	376	11.29947	65	6.44493	11	0.83345	6.79138e-123	True
_C4_C2C2dof_4	NA	C4_C2C2dof_4	C_	317	7.55233	19	9.58736	51	-0.29763	1.52901e-71	True
_C4_C2C2dof_16	NA	C4_C2C2dof_16	C_2	416	7.36507	24	9.95888	71	-0.32961	2.67655e-84	True
_C2_Homeobox_13	NA	C2_Homeobox_13	C_6-C4_ARID_4	25	8.28475	3	9.83681	5	-0.31535	6.30639e-31	True
_C4_MYBrelated_2	NA	C4_MYBrelated_2	C_	612	7.34319	50	10.55012	112	-0.44837	1.47746e-106	True
_C3_LOBAS2_14	NA	C3_LOBAS2_14	C_	25	8.96865	2	5.18281	0	0.76352	2.43039e-62	True
_C5_REMB3_2	NA	C5_REMB3_2	C_	159	7.58157	15	9.4598	24	-0.29101	2.21639e-60	True
_C1_MYB_20	NA	C1_MYB_20	C_	56	8.33365	6	11.93673	9	-0.36205	1.15977e-44	True
_C2_Trihelix_50	NA	C2_Trihelix_50	C_	73	8.93315	9	11.30009	13	-0.26182	4.99951e-41	True
