State (Emission order)	Genome %	marpolExon.marpol.bed	marpolGene.marpol.bed	marpolTES.marpol.bed	marpolTSS.marpol.bed	marpolTSS2kb.marpol.bed
1	6.10165	3.07554	2.85771	1.18359	1.38575	2.64571
2	12.56482	2.17192	2.88170	1.59025	0.13622	0.63574
3	4.76429	1.35823	1.25527	4.15346	0.73026	1.04585
4	4.95156	1.10052	0.74117	1.23331	6.43300	1.96843
5	6.79910	1.06279	0.74067	1.43099	2.50915	1.61680
6	7.20587	2.26922	1.71495	1.62313	2.33450	1.90925
7	7.52564	1.46925	1.21444	1.58730	1.63295	1.60665
8	16.07793	0.22099	0.21956	0.23410	0.21668	0.26736
9	6.00532	0.14052	0.13172	0.36351	0.21124	0.50840
10	12.57873	0.20688	0.18998	0.53187	0.22283	1.05963
11	10.33951	0.02321	0.27644	0.05915	0.04826	0.27063
12	5.08559	0.02952	0.11852	0.05551	0.05411	0.16102
Base	100	19.3252492118	32.7026587379	0.0095406998	0.0096246382	30.6294666904
