TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0006357	"regulation of transcription by RNA polymerase II"	-6.056950888991593	2.4800069429571505	1.5175960471916912	0.8694527613611205	0	null
GO:0042744	"hydrogen peroxide catabolic process"	-6.056950888991593	1.9637878273455553	0.45880810729051125	0.8345614119980483	0.20633135	null
GO:0006366	"transcription by RNA polymerase II"	-5.7654827164873135	1.7403626894942439	0.27225975597458907	0.9067438712863086	0	null
GO:0072593	"reactive oxygen species metabolic process"	-5.662740460249724	2.12057393120585	0.6604820006050217	0.9000608198462537	0.19647614	null
GO:0050794	"regulation of cellular process"	-3.9738754832545498	3.6602012013806817	23.051326005848544	0.8035845618195738	0.3585424	null
GO:0065007	"biological regulation"	-3.464452720823332	3.721728198572788	26.560451749521025	1	0	null
GO:0009664	"plant-type cell wall organization"	-3.345630909024714	2.2068258760318495	0.8066955732580418	0.7770003986963256	0.04978701	null
GO:0009987	"cellular process"	-2.486782399932061	4.03893791903862	55.14268427952002	1	0	null
GO:0006950	"response to stress"	-2.2426039712069756	3.5561818466529114	18.14056670364021	0.92756278783416	0.3169839	null
GO:0045229	"external encapsulating structure organization"	-2.0207704069778445	2.7671558660821804	2.944438842391852	0.8542997072993473	0.45610976	null
GO:0050896	"response to stimulus"	-1.984221243610959	3.756636108245848	28.783906423313503	1	0	null
GO:0006979	"response to oxidative stress"	-1.8167301563171954	2.60959440922522	2.046990017142281	0.9414477269942311	0	null
GO:0006829	"zinc ion transport"	-1.7505570385574178	1.4771212547196624	0.14621357265302007	0.9226940636135385	0	null
GO:0071554	"cell wall organization or biogenesis"	-1.502241281712732	2.828015064223977	3.388121407683775	0.9337925407728519	0.06508605	null
