output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C4_C2C2COlike_1	NA	C4_C2C2COlike_1	C_	797	8.22055	75	9.75828	112	-0.20463	2.83945e-76	True
_C2_WRKY_4	NA	C2_WRKY_4	C_	290	8.22222	26	9.74253	42	-0.22142	8.99475e-61	True
_C2_MYBrelated_1	NA	C2_MYBrelated_1	C_	604	7.48954	48	9.20684	75	-0.28004	2.02607e-88	True
_C4_bZIP_7	NA	C4_bZIP_7	C_	333	8.75741	34	10.17702	52	-0.21769	4.35542e-64	True
_C4_C2C2gata_3	NA	C4_C2C2gata_3	C_	516	8.61841	54	9.96803	91	-0.23186	7.62858e-70	True
_C5_AP2EREBP_2	NA	C5_AP2EREBP_2	C_	484	8.53518	49	10.76699	101	-0.26664	3.01915e-80	True
_C2_AP2EREBP_25	NA	C2_AP2EREBP_25	C_	291	8.89586	36	10.59758	48	-0.23951	6.37798e-71	True
_C3_Trihelix_33	NA	C3_Trihelix_33	C_	685	11.4697	138	8.66065	80	0.30704	1.57791e-95	True
_C2_BSD_2	NA	C2_BSD_2	C_	459	11.39919	107	8.65296	58	0.35418	1.83973e-88	True
_C2_HSF_13	NA	C2_HSF_13	C_	483	11.44465	104	8.22672	45	0.38824	4.37385e-91	True
_C4_C2C2YABBY_14	NA	C4_C2C2YABBY_14	C_	228	9.56986	30	11.52161	49	-0.2216	7.15562e-52	True
_C2_GeBP_2	NA	C2_GeBP_2	C_	403	10.83187	81	7.63519	37	0.37026	9.35202e-85	True
_C2_HSF_4	NA	C2_HSF_4	C_	851	11.54102	184	8.39229	96	0.3789	2.43102e-106	True
_C2_HSF_1	NA	C2_HSF_1	C_	524	11.80079	116	7.88129	49	0.5027	1.63655e-108	True
_C2_WRKY_2	NA	C2_WRKY_2	C_	285	8.85436	36	10.77994	44	-0.22237	2.41549e-60	True
_C2_C2C2YABBY_1	NA	C2_C2C2YABBY_1	C_	242	8.60977	27	10.13109	41	-0.21773	1.33651e-55	True
_C2_AP2EREBP_27	NA	C2_AP2EREBP_27	C_	267	12.28827	62	9.06939	34	0.39181	6.36221e-85	True
_C4_C2C2dof_8	NA	C4_C2C2dof_8	C_	238	8.89064	28	10.6817	44	-0.24592	3.41922e-57	True
_C4_HB_11	NA	C4_HB_11	C_	416	8.30041	40	10.04757	65	-0.24579	2.78862e-72	True
_C4_BZR_6	NA	C4_BZR_6	C_	168	9.47946	25	11.55359	37	-0.20427	7.46031e-46	True
_C2_HSF_5	NA	C2_HSF_5	C_	414	11.42091	98	7.46563	27	0.47857	4.13734e-102	True
_C1_bHLH_32-C4_bHLH_25	NA	C1_bHLH_32-C4_bHLH_25	C_	1043	9.31485	150	10.92389	196	-0.23959	8.00891e-92	True
_C2_HSF_14-C3_HSF_12	NA	C2_HSF_14-C3_HSF_12	C_7	1122	10.67205	217	7.96211	102	0.3551	6.75634e-109	True
_C2_bZIP_8-C4_bZIP_8-C5_bZIP_4	NA	C2_bZIP_8-C4_bZIP_8-C5_bZIP_4	C_	735	9.19156	97	10.77418	139	-0.21815	5.25083e-84	True
_C2_bZIP_5-C4_bZIP_5	NA	C2_bZIP_5-C4_bZIP_5	C_	367	9.23313	47	11.21133	75	-0.25646	8.99861e-70	True
_C4_C2C2gata_8-C5_C2C2gata_2	NA	C4_C2C2gata_8-C5_C2C2gata_2	C_	307	8.58122	33	11.01565	73	-0.3381	4.21911e-81	True
_C5_AP2EREBP_3	NA	C5_AP2EREBP_3	C_	1075	9.077	130	10.83788	216	-0.25125	2.36815e-91	True
_C4_G2like_12	NA	C4_G2like_12	C_	384	8.71924	45	10.44012	69	-0.25403	1.77927e-71	True
_C1_bHLH_29-C2_bHLH_19-C5_bHLH_8	NA	C1_bHLH_29-C2_bHLH_19-C5_bHLH_8	C_	320	9.46927	40	11.20284	59	-0.25558	6.5421e-72	True
_C5_bHLH_4	NA	C5_bHLH_4	C_	623	9.62834	90	11.07331	115	-0.20793	5.61202e-73	True
_C1_Trihelix_11	NA	C1_Trihelix_11	C_	463	9.75013	73	10.47724	79	-0.21632	3.22572e-70	True
_C1_Trihelix_21	NA	C1_Trihelix_21	C_	685	9.08193	86	9.89106	89	-0.2168	1.80993e-81	True
_C1_AP2EREBP_37	NA	C1_AP2EREBP_37	C_	506	8.67834	54	9.94538	64	-0.30989	1.59576e-85	True
_C2_HSF_6	NA	C2_HSF_6	C_	1159	10.83208	225	8.3886	119	0.28306	3.13821e-100	True
_C2_HSF_2	NA	C2_HSF_2	C_	700	11.33346	148	7.9	59	0.42925	4.61795e-107	True
_C2_C2H2_2-C4_C2H2_2	NA	C2_C2H2_2-C4_C2H2_2	C_	2221	8.39538	216	9.50975	322	-0.15645	6.63699e-92	True
_C3_Trihelix_36	NA	C3_Trihelix_36	C_	192	9.18977	29	9.96974	32	-0.20356	3.78497e-46	True
