TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0023052	"signaling"	-21.12866061890014	3.288696260590256	9.129352065028426	0.8357288084174715	0.22526742	null
GO:0007154	"cell communication"	-21.02512002699307	3.332034277027518	10.087863553070525	0.9363892684669389	0.05438366	null
GO:0051716	"cellular response to stimulus"	-17.28836146176765	3.506369717095504	15.073063008034582	0.7882478181436542	0.29916778	null
GO:0050896	"response to stimulus"	-13.515557792357592	3.7975445143617264	29.474228257294556	1	0	null
GO:0050794	"regulation of cellular process"	-11.531357331608488	3.726890140741822	25.048160503688386	0.8082293245747963	0.4990857	null
GO:0065007	"biological regulation"	-8.56336036830734	3.784260582566084	28.586195555137905	1	0	null
GO:0006950	"response to stress"	-8.35047043405218	3.587486465410964	18.169431001268617	0.8347145917246069	0.47896329	null
GO:0009987	"cellular process"	-7.477816682381314	4.113976758289846	61.08161443405535	1	0	null
GO:0006952	"defense response"	-6.999565922520682	3.208710019906401	7.592914532725649	0.8336379940026517	0.43303178	null
GO:0008150	"biological_process"	-5.755228238504705	4.328053250252685	100	1	0	null
GO:0006468	"protein phosphorylation"	-5.561299467099263	2.2624510897304293	0.855142602076775	0.8436374809860974	0	null
GO:0042744	"hydrogen peroxide catabolic process"	-4.647431613820691	2.0043213737826426	0.4698585725696565	0.8529136031871654	0.14195742	null
GO:0007229	"integrin-mediated signaling pathway"	-3.684869682816398	0.6989700043360189	0.01879434290278626	0.8108107816818506	0.02876117	null
GO:0006346	"DNA methylation-dependent heterochromatin formation"	-3.3675427078152755	1.7403626894942439	0.25372362918761454	0.7664373777315192	0.14256762	null
GO:0006979	"response to oxidative stress"	-2.9738754832545498	2.649334858712142	2.0908706479349717	0.8578502966384594	0.13844038	null
GO:0072593	"reactive oxygen species metabolic process"	-2.799696817018415	2.1583624920952498	0.6718977587746088	0.9011336770174467	0.14715734	null
GO:0006386	"termination of RNA polymerase III transcription"	-2.4187331947263293	0.47712125471966244	0.00939717145139313	0.9278316812477957	0.15074164	null
GO:0006793	"phosphorus metabolic process"	-2.1951793212788377	3.2830749747354715	9.011887421886012	0.8671445820726393	0.20045448	null
GO:0009664	"plant-type cell wall organization"	-2.06118017497379	2.184691430817599	0.714185030305878	0.9155318497508241	0.32161749	null
GO:0007166	"cell surface receptor signaling pathway"	-2.017683530307935	2.0791812460476247	0.5591317013578913	0.7462945834061113	0.31925321	null
GO:0006888	"endoplasmic reticulum to Golgi vesicle-mediated transport"	-1.9888526392242025	2.037426497940624	0.5074472583752291	0.9559159278825307	0.03819774	null
GO:0009641	"shade avoidance"	-1.8683813356508745	1.2304489213782739	0.07517737161114504	0.8988076461268336	0.15579188	null
GO:0009408	"response to heat"	-1.503485481302255	2.4424797690644486	1.296809660292252	0.8517223989725281	0.36313904	null
