GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0031222	arabinan catabolic process	7	7	0.05	5.1e-16	2.917e-12	P	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570
GO:0009408	response to heat	200	18	1.33	1.7e-15	4.862e-12	P	AT1G07400, AT1G16030, AT1G53540, AT1G56410, AT1G59860, AT2G04030, AT2G29500, AT3G09440, AT3G12580, AT3G24500, AT3G46230, AT4G27670, AT5G02490, AT5G02500, AT5G09590, AT5G12020, AT5G12030, AT5G59720	AT1G07400, AT1G16030, AT1G53540, AT1G56410, AT1G59860, AT2G04030, AT2G29500, AT3G09440, AT3G12580, AT3G24500, AT3G46230, AT4G27670, AT5G02490, AT5G02500, AT5G09590, AT5G12020, AT5G12030, AT5G59720
GO:0031221	arabinan metabolic process	8	7	0.05	4e-15	7.627e-12	P	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570
GO:0045493	xylan catabolic process	10	7	0.07	6e-14	8.580e-11	P	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570	AT1G02640, AT1G78060, AT5G09700, AT5G09730, AT5G10560, AT5G49360, AT5G64570
GO:0044710	single-organism metabolic process	5206	76	34.61	7.4e-13	8.466e-10	P	AT1G02640, AT1G06690, AT1G07440, AT1G07745, AT1G08110, AT1G10810, AT1G16300, AT1G32470, AT1G44090, AT1G50490, AT1G55020, AT1G60680, AT1G60690, AT1G60710, AT1G60730, AT1G60750, AT1G60980, AT1G67290, AT1G70570, AT1G78060, AT1G78580, AT1G79530, AT2G02850, AT2G05260, AT2G29150, AT2G29260, AT2G29290, AT2G29350, AT2G29360, AT2G29370, AT2G30490, AT2G35120, AT2G35370, AT2G44790, AT3G18140, AT3G20060, AT3G22400, AT3G44190, AT3G50820, AT3G54610, AT3G63510, AT4G10955, AT4G10960, AT4G17760, AT4G18470, AT4G23920, AT4G24160, AT4G25420, AT4G27070, AT4G30580, AT4G30820, AT5G06060, AT5G07200, AT5G08280, AT5G09700, AT5G09730, AT5G10560, AT5G22140, AT5G24180, AT5G24190, AT5G24200, AT5G24210, AT5G24220, AT5G24230, AT5G28237, AT5G36110, AT5G36130, AT5G36140, AT5G47970, AT5G49360, AT5G51810, AT5G54810, AT5G61510, AT5G63890, AT5G64570, AT5G66570	AT1G02640, AT1G06690, AT1G07440, AT1G07745, AT1G08110, AT1G10810, AT1G16300, AT1G32470, AT1G44090, AT1G50490, AT1G55020, AT1G60680, AT1G60690, AT1G60710, AT1G60730, AT1G60750, AT1G60980, AT1G67290, AT1G70570, AT1G78060, AT1G78580, AT1G79530, AT2G02850, AT2G05260, AT2G29150, AT2G29260, AT2G29290, AT2G29350, AT2G29360, AT2G29370, AT2G30490, AT2G35120, AT2G35370, AT2G44790, AT3G18140, AT3G20060, AT3G22400, AT3G44190, AT3G50820, AT3G54610, AT3G63510, AT4G10955, AT4G10960, AT4G17760, AT4G18470, AT4G23920, AT4G24160, AT4G25420, AT4G27070, AT4G30580, AT4G30820, AT5G06060, AT5G07200, AT5G08280, AT5G09700, AT5G09730, AT5G10560, AT5G22140, AT5G24180, AT5G24190, AT5G24200, AT5G24210, AT5G24220, AT5G24230, AT5G28237, AT5G36110, AT5G36130, AT5G36140, AT5G47970, AT5G49360, AT5G51810, AT5G54810, AT5G61510, AT5G63890, AT5G64570, AT5G66570
GO:0046686	response to cadmium ion	318	17	2.11	4.9e-11	4.671e-08	P	AT1G07440, AT1G07920, AT1G07930, AT1G07940, AT1G08110, AT1G53540, AT1G56410, AT1G60710, AT2G21660, AT3G09440, AT3G12580, AT4G37910, AT5G02490, AT5G02500, AT5G09590, AT5G60160, AT5G60390	AT1G07440, AT1G07920, AT1G07930, AT1G07940, AT1G08110, AT1G53540, AT1G56410, AT1G60710, AT2G21660, AT3G09440, AT3G12580, AT4G37910, AT5G02490, AT5G02500, AT5G09590, AT5G60160, AT5G60390
GO:0055114	oxidation-reduction process	1859	39	12.36	9.8e-11	8.008e-08	P	AT1G06690, AT1G07440, AT1G10810, AT1G16300, AT1G44090, AT1G55020, AT1G60680, AT1G60690, AT1G60710, AT1G60730, AT1G60750, AT1G60980, AT1G67290, AT1G79530, AT2G02850, AT2G29150, AT2G29260, AT2G29290, AT2G29350, AT2G29360, AT2G29370, AT2G30490, AT2G44790, AT3G22400, AT3G44190, AT3G50820, AT3G63510, AT4G25420, AT5G06060, AT5G07200, AT5G22140, AT5G36110, AT5G36130, AT5G36140, AT5G47970, AT5G51810, AT5G61510, AT5G63890, AT5G66570	AT1G06690, AT1G07440, AT1G10810, AT1G16300, AT1G44090, AT1G55020, AT1G60680, AT1G60690, AT1G60710, AT1G60730, AT1G60750, AT1G60980, AT1G67290, AT1G79530, AT2G02850, AT2G29150, AT2G29260, AT2G29290, AT2G29350, AT2G29360, AT2G29370, AT2G30490, AT2G44790, AT3G22400, AT3G44190, AT3G50820, AT3G63510, AT4G25420, AT5G06060, AT5G07200, AT5G22140, AT5G36110, AT5G36130, AT5G36140, AT5G47970, AT5G51810, AT5G61510, AT5G63890, AT5G66570
GO:0009266	response to temperature stimulus	561	21	3.73	1.8e-10	1.287e-07	P	AT1G07400, AT1G16030, AT1G53540, AT1G56410, AT1G59860, AT2G04030, AT2G21660, AT2G29500, AT3G09440, AT3G12580, AT3G24500, AT3G46230, AT4G27670, AT4G39260, AT5G02490, AT5G02500, AT5G09590, AT5G12020, AT5G12030, AT5G59720, AT5G61900	AT1G07400, AT1G16030, AT1G53540, AT1G56410, AT1G59860, AT2G04030, AT2G21660, AT2G29500, AT3G09440, AT3G12580, AT3G24500, AT3G46230, AT4G27670, AT4G39260, AT5G02490, AT5G02500, AT5G09590, AT5G12020, AT5G12030, AT5G59720, AT5G61900
GO:0010035	response to inorganic substance	899	25	5.98	1.5e-09	9.533e-07	P	AT1G07440, AT1G07920, AT1G07930, AT1G07940, AT1G08110, AT1G53540, AT1G56410, AT1G60710, AT2G04030, AT2G21660, AT2G29500, AT3G09440, AT3G12580, AT3G24500, AT4G27670, AT4G37910, AT4G39260, AT5G02490, AT5G02500, AT5G09590, AT5G12030, AT5G59720, AT5G60160, AT5G60390, AT5G61900	AT1G07440, AT1G07920, AT1G07930, AT1G07940, AT1G08110, AT1G53540, AT1G56410, AT1G60710, AT2G04030, AT2G21660, AT2G29500, AT3G09440, AT3G12580, AT3G24500, AT4G27670, AT4G37910, AT4G39260, AT5G02490, AT5G02500, AT5G09590, AT5G12030, AT5G59720, AT5G60160, AT5G60390, AT5G61900
GO:0010038	response to metal ion	463	18	3.08	2.2e-09	1.258e-06	P	AT1G07440, AT1G07920, AT1G07930, AT1G07940, AT1G08110, AT1G53540, AT1G56410, AT1G60710, AT2G21660, AT3G09440, AT3G12580, AT4G37910, AT4G39260, AT5G02490, AT5G02500, AT5G09590, AT5G60160, AT5G60390	AT1G07440, AT1G07920, AT1G07930, AT1G07940, AT1G08110, AT1G53540, AT1G56410, AT1G60710, AT2G21660, AT3G09440, AT3G12580, AT4G37910, AT4G39260, AT5G02490, AT5G02500, AT5G09590, AT5G60160, AT5G60390
