gene	RNA_cluster	ATAC_cluster
Mp1g00170	C2	C2
Mp1g02020	C2	C2
Mp1g03210	C2	C2
Mp1g04760	C2	C2
Mp1g10690	C2	C2
Mp1g12310	C2	C2
Mp1g12530	C2	C2
Mp1g13190	C2	C2
Mp1g16280	C2	C2
Mp1g16450	C2	C2
Mp1g17490	C2	C2
Mp1g17820	C2	C2
Mp1g20770	C2	C2
Mp1g21640	C2	C2
Mp1g24370	C2	C2
Mp1g26610	C2	C2
Mp1g28530	C2	C2
Mp2g00810	C2	C2
Mp2g02650	C2	C2
Mp2g04040	C2	C2
Mp2g07000	C2	C2
Mp2g08350	C2	C2
Mp2g10220	C2	C2
Mp2g10260	C2	C2
Mp2g10270	C2	C2
Mp2g16820	C2	C2
Mp2g19760	C2	C2
Mp2g23755	C2	C2
Mp2g24950	C2	C2
Mp2g26370	C2	C2
Mp3g02240	C2	C2
Mp3g09010	C2	C2
Mp3g09050	C2	C2
Mp3g09560	C2	C2
Mp3g11470	C2	C2
Mp3g11790	C2	C2
Mp3g15010	C2	C2
Mp3g19570	C2	C2
Mp3g23390	C2	C2
Mp3g23810	C2	C2
Mp3g23840	C2	C2
Mp3g24240	C2	C2
Mp4g01210	C2	C2
Mp4g05500	C2	C2
Mp4g08740	C2	C2
Mp4g11410	C2	C2
Mp4g12300	C2	C2
Mp4g12890	C2	C2
Mp4g14360	C2	C2
Mp4g15430	C2	C2
Mp4g18140	C2	C2
Mp4g19310	C2	C2
Mp4g23570	C2	C2
Mp5g00400	C2	C2
Mp5g00690	C2	C2
Mp5g03970	C2	C2
Mp5g06100	C2	C2
Mp5g11120	C2	C2
Mp5g15940	C2	C2
Mp5g20470	C2	C2
Mp5g24390	C2	C2
Mp6g01420	C2	C2
Mp6g01570	C2	C2
Mp6g04770	C2	C2
Mp6g05140	C2	C2
Mp6g06950	C2	C2
Mp6g08280	C2	C2
Mp6g14180	C2	C2
Mp6g19170	C2	C2
Mp6g19790	C2	C2
Mp6g19800	C2	C2
Mp6g20450	C2	C2
Mp6g20700	C2	C2
Mp7g02600	C2	C2
Mp7g04270	C2	C2
Mp7g06280	C2	C2
Mp7g07880	C2	C2
Mp7g08570	C2	C2
Mp7g08650	C2	C2
Mp7g11110	C2	C2
Mp7g11430	C2	C2
Mp7g16240	C2	C2
Mp7g17100	C2	C2
Mp7g18210	C2	C2
Mp8g00720	C2	C2
Mp8g01840	C2	C2
Mp8g05610	C2	C2
Mp8g06470	C2	C2
Mp8g07330	C2	C2
Mp8g10690	C2	C2
Mp8g12000	C2	C2
Mp8g13250	C2	C2
Mp8g13330	C2	C2
Mp8g16780	C2	C2
Mp8g17750	C2	C2
